ID,Summary,Steps for reproduce,Actual result,Expected result,Severity
C2865,"В поле  ""Order Summary"" не соответствут сумма оплаты","1.Кликнуть на товар ""purple duck""
2.Проверить наличие товара на складе
3.Нажать ""add to cart""
4.Перейти в корзину (кликнуть на Checkout в правом верхнем углу сайта)
1.Заполнить все обязательные поля для оформления заказа
2.Выбрать оплату при получении товара
3.В поле ""Order Summary"" сверить сумму заказа
3.Нажать кнопку ""confirm order""
","В поле Cash on Delivery (Belarus)прописана опалата равная $0.00,  заказ состовляет 20$","В поле Cash on Delivery (Belarus)прописана опалата равная $20,соответствующая сумме заказа",Высокая 
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
C2900,Информация о товаре написана на неизвестном языке,"1.Открыта категория товара "" Rubber Ducks""
2.В категории товара  ""Rubber Ducks"" выбрать любой товар, кликнуть по нему
3.Под иконкой товара проверить информацию о товаре (установлен английский язык)",Информация о товаре отображается на неизвестном языке,"Информация о товаре отображается корректно в соответствии с языком, который выбран в настройках",Низкая
